InputGrid,Grid,Ns,Nt,Nsteps,Trial,Method,Seconds,Status,Message
Swan,81 x 81,81,81,10,2,Transfinite interpolation only,0.001107,ok,
Swan,81 x 81,81,81,10,2,Transfinite total,0.00640733333333333,ok,
Swan,81 x 81,81,81,10,2,gridGenerator total,1.630086875,ok,
Swan,81 x 81,81,81,10,3,Input grid_fun call,0.00355966666666667,ok,
Swan,81 x 81,81,81,10,3,Transfinite interpolation only,0.005105375,ok,
Swan,81 x 81,81,81,10,3,Transfinite total,0.00866504166666667,ok,
Swan,81 x 81,81,81,10,3,gridGenerator total,1.67307683333333,ok,
Swan,81 x 81,81,81,10,4,Input grid_fun call,0.00395120833333333,ok,
Swan,81 x 81,81,81,10,4,Transfinite interpolation only,0.00254429166666667,ok,
Swan,81 x 81,81,81,10,4,Transfinite total,0.0064955,ok,
Swan,81 x 81,81,81,10,4,gridGenerator total,1.64926679166667,ok,
Swan,81 x 81,81,81,10,5,Input grid_fun call,0.00508604166666667,ok,
Swan,81 x 81,81,81,10,5,Transfinite interpolation only,0.00190158333333333,ok,
Swan,81 x 81,81,81,10,5,Transfinite total,0.006987625,ok,
Swan,81 x 81,81,81,10,5,gridGenerator total,1.67980020833333,ok,
Swan,41 x 21,41,21,10,1,Input grid_fun call,0.00265725,ok,
Swan,41 x 21,41,21,10,1,Transfinite interpolation only,0.001163,ok,
Swan,41 x 21,41,21,10,1,Transfinite total,0.00382025,ok,
Swan,41 x 21,41,21,10,1,gridGenerator total,0.966904208333333,ok,
Swan,41 x 21,41,21,10,2,Input grid_fun call,0.00372083333333333,ok,
Swan,41 x 21,41,21,10,2,Transfinite interpolation only,0.00366975,ok,
Swan,41 x 21,41,21,10,2,Transfinite total,0.00739058333333333,ok,
Swan,41 x 21,41,21,10,2,gridGenerator total,0.836560208333333,ok,
Swan,41 x 21,41,21,10,3,Input grid_fun call,0.00157983333333333,ok,
Swan,41 x 21,41,21,10,3,Transfinite interpolation only,0.000944916666666667,ok,
Swan,41 x 21,41,21,10,3,Transfinite total,0.00252475,ok,
Swan,41 x 21,41,21,10,3,gridGenerator total,0.721193583333333,ok,
Swan,41 x 21,41,21,10,4,Input grid_fun call,0.002024375,ok,
Swan,41 x 21,41,21,10,4,Transfinite interpolation only,0.001606375,ok,
Swan,41 x 21,41,21,10,4,Transfinite total,0.00363075,ok,
Swan,41 x 21,41,21,10,4,gridGenerator total,0.817307458333333,ok,
Swan,41 x 21,41,21,10,5,Input grid_fun call,0.00241733333333333,ok,
Swan,41 x 21,41,21,10,5,Transfinite interpolation only,0.0011265,ok,
Swan,41 x 21,41,21,10,5,Transfinite total,0.00354383333333333,ok,
Swan,41 x 21,41,21,10,5,gridGenerator total,0.808737416666667,ok,
